"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Mulanje District Council","195","MJDC-IPDC-21/22-W-2-GESD","Rehabilitation of Tchelekere Irrigation Scheme","implementation","rehabilitation","Rehabilitation of Tchelekere Irrigation Scheme in Mulanje-Limbuli Constituency","to improve food security","2022-01-17","2022-04-20","MWK","50000000.00",""
"Mulanje District Council","196","MJDC-IPDC-21/22-W-5-GESD","Rehabilitation of Mulanje District Hospital paying ward","completed","rehabilitation","Rehabilitation of a paying ward","to improve health service delivery","2021-12-21","2022-03-21","MWK","7000000.00",""
"Mulanje District Council","198","MJDC-IPDC-21/22-W-4-GESD","Construction of Ndanga maternity Wing","completed","construction","Construction of Ndanga Maternity Wing","to improve maternal health","2021-12-21","2022-04-26","MWK","80000000.00",""
"Roads Authority","44","RA/DEV/2020-21/06","THE CAPACITY IMPROVEMENT OF THE KENYATTA ROAD TO MULTI CARRIAGEWAY (6 LANES)","implementation","expansion","Pursuant to the Malawi Growth and Development Strategy (MGDS III), 2018 and the Transport Master Plan, 2018, the Malawi Vision 2063, 2021 which are recent policy documents that articulates issues related to both economic growth and development in the Transport Sector, the Government of the Republic of Malawi is expanding the Kenyatta road from a single carriageway to a multi carriageway (6 lanes) in the City of Lilongwe.","Reduction in Travel Time  Once the project is completed it will reduce travel time between Lilongwe Old Town and City Centre. Currently it takes about 1 hour to travel between the two places and the journey would take less than 10 minutes. Reduction in vehicle Operating Costs Due to reduced travel time, vehicle operating costs would be greatly reduced in terms of wear and tear and usage of fuel. Enhanced Road Safety for all road users With the introduction of a dedicated lane for cyclists and a separate pedestrian walkway road safety for all road users will be enhanced and will result in the reduction of accidents between motorised and non-motorised traffic. Direct employment during construction Many people will be employed during the implementation of the project.","2021-09-15","2023-03-15","MWK","19042052151.71",""
"Roads Authority","200","RA/DEV/2020-21/05","Capacity Improvement of Mzimba Street","implementation","expansion","Expanding the capacity of the Mzimba Street from two to four lanes . The works will also include construction of a partial Cloverleaf Interchange replacing the current roundabout at Kamuzu Central Hospital/ Petroda Filling Station. Then the expansion works will proceed to Lilongwe Bridge, just after passing the Kamuzu Central Hospital and Central Medical Stores Trust.","Reduction in Travel Time","2022-04-01","2023-03-27","MWK","9878866404.25",""
"Roads Authority","201","RA/M7/U51","Upgrading of Ntchisi - Malomo road","implementation","construction","The Ntchisi - Malomo (M7/UD51) road project starts from Malomo Trading Centre where the first 3kilometers of the road was upgraded from earth to bitumen standard under Maintenance Programme of Roads the Authority. The road goes southward passing through a gentle terrain towards Ntchisi town in Ntchisi district.","UPGRADING OF A 10 KM SECTION ON NTCHISI – MALOMO (M7/UD51) ROAD. The project will have many benefits to the people along the road and to the country as a whole.","2021-08-01","2022-05-02","MWK","4173351450.99",""
"Roads Authority","202","RA (T378)","UPGRADING OF A 10 KM SECTION ON MONKEY BAY – CAPE MACLEAR (T378) ROAD","implementation","expansion","The Monkey Bay Cape Maclear (T378) road starts at Cape Maclear junction on the Monkey Bay road and continues west-northward passing through mountainous areas to Cape Maclear Tourist area and Lake Malawi National park in Mangochi district.","Vehicle operating costs savings constitute the most important benefit attributable to the project. This will have direct reduction on maintenance cost of the vehicles, reduced fuel consumption and travel time.","2021-11-01","2022-07-31","MWK","3563898954.27",""
"Roads Authority","203","RA/DEV/","Dedza One Stop Border Post","completion","construction","The project involves construction of a new border facility at Dedza. The following facilities will be constructed at the new Dedza border facility; Main Passenger terminal and Port health building, Office Block for MRA, MBS and other agencies, Bus inspection shed, warehouse, Scanner shed, Voltage regulator room for scanner equipment, Animal and plant/ Agriculture products clearance building, Cargo Inspection shed, Transformer and electrical equipment house, Generator house, Solar equipment house, Gate houses, parking areas and roads and Permanent fence","The construction of the border will lead to an improvement in the processing of imports and exports at the border crossing between Malawi and Mozambique which will see a reduction in truck and passenger wait time at the border once the facility becomes a One Stop Border Post.","2021-03-07","2022-03-07","USD","9569684.58",""
"Roads Authority","204","RA/DEV/2","Mwanza One Stop Border Post","implementation","construction","The project is located at the border with Mozambique in Mwanza.  The works involve expansion of the existing border facility at Mwanza Border Post by constructing the following additional structures; main Passenger terminal and Port health building, Office Block for MRA, MBS and other agencies, Bus parking and inspection shed, New electrical and transformer room, Generator room, Parking areas, access roads and perimeter fence.","The construction of the border will lead to an improvement in the processing of imports and exports at the border crossing between Malawi and Mozambique which will see a reduction in truck and passenger wait time at the border once the facility becomes a One Stop Border Post.","2021-03-07","2022-07-31","MWK","3178360156.45",""
"Roads Authority","205","RA/DEV/2018-19/04","B.	UPGRADING OF MZIMBA-MZARANGWE ROAD","implementation","construction","The current project involves upgrading 45 Km of the road which include 15.4Km of the M022 road section from Mzimba Boma (M009/M022 Junction) to the M022/M001 Junction and 30Km section of the S107 from Mtangatanga Turn Off (M022/S107 junction) up to Mtantha trading center. The two road sections will be upgraded from earth to bitumen.","The project will have many benefits to the people along the road and to the country as a whole. Some of the benefits will include; 6.1	Shorter Route The road will provide a shorter route for travellers between Lilongwe and Mzuzu who would like to pass through Mzimba Boma. 6.2	Road Maintenance costs With the upgrading of this road to bitumen standard, road maintenance costs will be greatly reduced greatly. 6.3	Vehicle Operating and Passenger Travel costs Vehicle operating costs savings constitute the most important benefit attributable to the project. This will have direct reduction on maintenance cost of the vehicles, reduced fuel consumption and travel time. Passengers will now be paying less and spending less time on travel. Availability of buses and minibuses will greatly improve transportation of passengers. 6.4	Agriculture The area where the road passes is an agricultural area for mainly tobacco, maize and groundnuts. The upgrading of the road will ease problems of transporting farm inputs and produce to and from various markets. 6.5	Environmental and Health The upgrading will reduce the occurrence of dust and mud along the project area and thereby improving sanitation that means reduction in the spread of diseases, which are airborne or waterborne. This will reduce the cost of medicines, which would have been required to treat the people affected. The upgrading of the road will allow the communities good access to health facilities in town especially for referral cases. 6.6	Employment Creation and Business Boosting The people around the area of the road project will also benefit by being employed in various road activities by the Contractor. During project implementation and after, many businesses will mushroom along the project road and the communities will be empowered economically.","2019-04-11","2022-06-09","MWK","10959872880.03",""
"Blantyre District Council","213","BT/","Chaweta primary school electrical installation","implementation","construction","installation of electricity in classrooms and staff houses","improve service delivery","2022-07-15","2022-09-30","MWK","18000000.00",""
"Blantyre District Council","212","BT/","Madziabango health center electrical installation","implementation","construction","installation of electricity in OPD and staff houses","to improve service delivery","2022-07-01","2022-10-31","MWK","20500000.00",""
"National Oil Company of Malawi (NOCMA)","215","NOCMA/ICB/S/MECHANICAL/2021/1","DESIGN AND INSTALLATION OF FUEL TANKS","preparation","expansion","Tanks provide storage of product at strategic fuel reserves according to the recommended storage amounts set in line with SADC requirements","To construct additional tanks at Mzuzu, Lilongwe and Blantyre to increase fuel storage capacity","2022-09-22","2024-04-30","MWK","18000000000.00",""
"Roads Authority","218","RA/DEV","CAPACITY IMPROVEMENT OF CROSSROADS ROUNDABOUT TO KANENGO ROAD PROJECT","preparation","expansion","The Government of Malawi signed a grant agreement for the capacity improvement of part of the M1 road from Cross roads round about up to Kanengo junction with Chendawaka which is 10 kilometers long. The road will be constructed to dual carriageway. Each lane will be 3.4m wide with a cycle track of 1.5 and a pedestrian track of 1.5m. Street lighting will be in the middle of the road in the 1500 mm wide median arching in two directions.","Reduction of Traffic Congestion is expected upon completion of the project. The road will complement the capacity of the interchange","2020-12-28","2023-12-27","CNY","177250000.00",""
"Machinga District Council","221","GESD/2021/5","Chikwewo School Block","implementation","construction","Construction of classroom block","To create more room for learners","2021-11-02","2022-04-05","MWK","31000000.00",""
"Machinga District Council","222","GESD/2021/6","Mwalasi School Block","implementation","construction","Construction of School Block","To ease learning space","2021-11-02","2022-04-05","MWK","31000000.00",""
"Machinga District Council","223","DDF/2021/02","Masenjere Primary School","implementation","construction","Construction of 1 two roomed classroom block","To increase the number of classroom blocks at the  institution there by increasing the pupil classroom ratio","2021-09-05","2022-03-23","MWK","26000000.00",""
"Blantyre District Council","42","BT/TH/","Maoni Teachers house","completed","construction","construction of a 3 bedroom house, kitchen and VIP toilet","dwelling house for  a primary school teacher","2021-06-07","2021-10-30","MWK","21000000.00",""
"Lilongwe City Council","225","LCC/CDF/11/21/BOREHOLES/LLCW","DRILLING OF EIGHT BOREHOLES IN LILONGWE CITY WEST CONSTITUENCY","completed","construction","Drilling of eight boreholes in lilongwe city west constituency","Providing safe water to the community and easy accessibility of water to the community.","2022-06-22","2022-11-24","MWK","29028616.48",""
"Lilongwe City Council","233","LCC/IPDC/07/22/LLCSE/CDF","CONSTRUCTION OF VARIOUS BRIDGES(CONSTRUCTION OF KALIYEKA BOX CULVERT) IN LILONGWE CITY SOUTH EAST CONSTITUENCY UNDER CONSTITIUENCY DEVELOPMENT FUND FOR 2022/2023 FINANCIAL YEAR LOT - 3","implementation","construction","CONSTRUCTION OF VARIOUS BRIDGES(CONSTRUCTION OF KALIYEKA BOX CULVERT) IN LILONGWE CITY SOUTH EAST CONSTITUENCY UNDER CONSTITIUENCY DEVELOPMENT FUND FOR 2022/2023 FINANCIAL YEAR LOT - 3 BY IPYANA CIVIL ENGINEERING","IMPROVE TRANSPORTATION OF GOODS AND SERVICES IN KALIYEKA WARD","2022-12-09","2023-02-07","MWK","51332463.00",""
"Mzuzu City Council","234","MCC/WORKS/18/05/LOT3-PHASE1","UPGRADING OF SELECTED ROADS IN THE CITY OF MZUZU","implementation","construction","The project connects M5 at Mzuzu govt Sec Sch-Luwinga at Mzuzu Coffee. It has four sections as follows: M5-Matete, Matete-Choma, Zolozolo CCAP- Zolozolo Clinic and Mzuzu Technical - Luwinga.","This is a critical road likely to decongest the city, improve mobility of farm produce, business interventions. It is also a gateway to an environmental conservation site - the Botanic gardens, the Road also acts as a bypass connecting M1 at Luwinga and M5 at Junction to Mzuzu Govt Secondary School. It is undeniably open new opportunities for the people of Mzuzu, its clients and the Council at large.","2019-08-16","2023-08-16","MWK","5837802640.35",""
"Lilongwe City Council","235","LCC/IPDC/07/22/LLCSE/CDF","CONSTRUCTION OF VARIOUS BRIDGES(DRAIANGE IMPROVEMENT IN KALIYEKA 2 ) IN LILONGWE CITY SOUTH EAST CONSTITUENCY UNDER CONSTITIUENCY DEVELOPMENT FUND FOR 2022/2023 FINANCIAL YEAR LOT - 3","implementation","construction","CONSTRUCTION OF VARIOUS BRIDGES(DRAIANGE IMPROVEMENT IN KALIYEKA 2 ) IN LILONGWE CITY SOUTH EAST CONSTITUENCY UNDER CONSTITIUENCY DEVELOPMENT FUND FOR 2022/2023 FINANCIAL YEAR LOT - 3 BY IPYANA CIVIL ENGINEERING","IMPROVE DRAIANGE SYSTEM IN KALIYEKA WARD","2022-12-08","2023-02-07","MWK","15083119.00",""
"Karonga District Council","237","102005007","Hara Health Centre Staff house and Solar Installation","implementation","construction","Construction of One Staff House, Single VIP Toilet and Installation of a Water System","To provide a conducive working environment for the Health workers","2021-07-01","2022-03-31","MWK","27000000.00",""
"Lilongwe District Council","240","LDC/GESD/2022-23/CDB/01G- Lot 2","Construction of a 30 tonne concrete deck bridge at Kanjamwana","implementation","construction","construction of a 30 tonne concrete deck bridge","to improve the quality of transportation during rainy season","2023-01-13","2023-04-13","MWK","59250000.00",""
"Lilongwe District Council","239","LDC/GESD/2022-23/CDB/01G- lot 1","Construction of a 30 tonne concrete deck bridge at Likuni River on Mtchayi to Chiponde Road","implementation","construction","construction of a 30 tonne concrete deck bridge","to improve the quality of transportation along this road during rainy season","2023-01-13","2023-04-13","MWK","85889856.00",""
"Lilongwe District Council","242","LDC/GESD/2022-23/CDB/01G- Lot 4","Construction of Lumbadzi Box Culverts on Maenje Village to Mtengowanthenga hospita","implementation","construction","construction of 3 cell box culvert and 2 cell box culvert","to improve quality of transportation during rainy season","2023-01-13","2023-04-13","MWK","65210613.09",""
"Lilongwe District Council","243","LDC/GESD/2022-23/CDB/01G- Lot 5","Construction of a 30 tonne concrete deck bridge at Nathenje river on Chaseta Village to Njati Village","implementation","construction","construction of a 30 tonne concrete deck bridge","to improve quality of transportation during the rainy season","2023-01-13","2023-04-13","MWK","64246884.40",""
"Lilongwe District Council","241","LDC/GESD/2022-23/CDB/01G - LOT 3","Construction of a 30 tonne concrete deck bridge at Livuwadzi on Chimphangu to Kamphira road","implementation","construction","construction of a 30 tonne concrete deck bridge","to improve the quality of road transportation during the rainy season","2023-01-13","2023-04-13","MWK","67950915.00",""
"Lilongwe City Council","229","LCC/IPDC/07/22/LCC/CDF","CONSTRUCTION OF AREA 18B NORTHREN FOOTBRIDGE UNDER CONSTITUENCY DEVELOPMENT FUND (CDF) IN LILONGWE CITY CONSTITUENCY-LOT3","completed","construction","CONSTRUCTION OF 8m long AREA 18B NORTHREN CONCRETE FOOTBRIDGE UNDER CONSTITUENCY DEVELOPMENT FUND (CDF) IN LILONGWE CITY CONSTITUENCY-LOT3","Improve transportation of goods and services from area 18A to area 18B","2022-11-14","2023-01-14","MWK","26406446.99",""
"Lilongwe City Council","267","WDF/CULVERTS-KAWALE1","CULVERT INSTALLATION AND CLEANING IN KAWALE 1","completed","construction","Installation of concrete culvert rings at various locations in Kawale 1","Improvement of road infrastructure in the city","2023-02-15","2023-04-16","MWK","5976647.50",""
"Lilongwe City Council","231","LLC/IPDC/07/22/LCC/CDF","CONSTRUCTION OF AREA 18B SOUTHERN FOOTBRIDGE UNDER CONSTITUENCY DEVELOPMENT FUND IN LILONGWE CITY-LOT 2","completed","construction","Project includes footing, masonry, steelwork and concrete deck","To improve mobility between Area 18 A and Area 18 B","2022-11-21","2023-02-19","MWK","19514968.25",""
"Lilongwe City Council","226","LCC/CDF/08/22/BOREHOLES/LLCSW","DRILLING OF SIX BOREHOLES IN LILONGWE CITY SOUTH WEST UNDER CDF","completed","construction","Drilling of six boreholes in lilongwe south west","Providing safe water and easy accessibility of safe water to the community","2022-11-30","2023-01-29","MWK","26600673.00",""
"Lilongwe City Council","232","LCC/CDF/08/22/BOREHOLES/LCSE","DRILLING OF SIX BOREHOLES IN LILONGWE CITY SOUTH EAST CONSTITUENCY UNDER CDF PROJECT","completed","construction","Drilling of six boreholes","Providing safe water to the community.","2022-11-30","2023-01-29","MWK","26600673.00",""
"Lilongwe City Council","51","LCC/IPDC044/08/21","Draiange Improvement on katete-Dimba Road in area 24-Lot 3","completed","construction","Improvement of Dranage on katete-Dimba in are 24","Drainage improvement in the city","2022-04-27","2022-08-24","MWK","59712883.13",""
"Lilongwe City Council","152","LCC/WDF/04/22/DRAINAGE/KABWABWA","Construction of drainage in kabwabwa ward under ward development fund in lilongwe city centre constituency s","completed","construction","Drainage improvement in kabwabwa ward mainly involve installation of 900 and 600mm culvert rings","Improve drainage system","2022-06-30","2022-08-31","MWK","1868951.25",""
"Lilongwe City Council","54","LCC/CDF-LLCity west","CONSTRUCTION OF BOX CULVERT AT MSAMBETA SCHOOL IN STATEHOUSE WARD UNDER CDF PROJECT","completed","construction","CONSTRUCTION OF BOX CULVERT AT MSAMBETA SCHOOL IN STATEHOUSE WARD UNDER CDF PROJECT","Drainage improvement in the city","2022-04-27","2022-07-25","MWK","23009787.50",""
"Lilongwe City Council","76","LCC/CDF/11/21/BOREHOLES/LLCW","DRILLING OF EIGHT BOREHOLES IN LILONGWE CITY WEST WARD UNDER CDF PROJECT","completed","construction","Drilling of eight boreholes in lilongwe city west ward under CPF project","Improving peoples health by supplying portable water to the community at a cheaper price, which will be readily available at the point of need.","2022-07-29","2022-10-27","MWK","29028616.48",""
"Lilongwe City Council","77","LCC/IPDC/193/03/21(Lot 1a Kauma)","UPGRADING/REHABILITATION OF SELECTED LILONGWE CITY ROADS AT AREA 12- KAUMA","completed","rehabilitation","Rehabilitation of roads in area 12 (Mwambo road) and Kauma","Improve Transportation","2021-10-18","2022-03-17","MWK","1328175946.35",""
"Lilongwe City Council","73","LCC/CDF/01/22/ZION BRIDGE/ CHINSAPO 1","CONSTRUCTION OF BOX CULVERT AT ZION BRIDGE IN CHINSAPO 1 UNDER CONSTITUENCY DEVELOPMENT FUND (CDF) IN LILONGWE CITY WEST CONSTITUENCY","completed","construction","A box culvert is being constructed at Zion","Drainage improvement","2022-06-20","2022-09-18","MWK","18499590.00",""
"Northern Region Water Board (NRWB)","115","NRWB/MNWEP","Malawi NRWB Water Efficiency Project- Mzuzu, Ekwendeni and Chintheche","implementation","construction","The Northern Region Water Board (NRWB) is implementing the Malawi NRWB Water Efficiency Project in Mzuzu City, Ekwendeni Town and Chintheche Town. The project is financed by the European Investment Bank (EIB) at an estimated cost of MK19.6 billion (€24.6million).","The aim of the project is to contribute to the economic development of Malawi by improving the health and livelihoods of the residents of Mzuzu City, Chintheche Town and Ekwendeni Town through rehabilitation and expansion of the existing water supply systems in order to provide reliable and sustainable potable water services by increasing capacity of Ekwendeni treatment and by increasing storage capacity in Mzuzu City. The project will in addition roll out prepaid water meters and implement water demand management strategies to control water loss. The project will impact positively 55,400 beneficiaries in Ekwendeni, 21,300 in Chintheche and 345,450 beneficiaries in Mzuzu City by year 2035.","2017-07-04","2024-04-30","EUR","24600000.00",""
"Directorate of Buildings (DoB)","238","MIE/CoTC/NCB/2021","construction of training complex at MIE","implementation","construction","Administration Block, Cafeteria, classroom block, fence and conference centre","expansion of training facilities","2022-07-27","2023-12-15","MWK","2386380598.98",""
"Directorate of Buildings (DoB)","259","50/2020","Rehabilitation of offices at MWASIP in lilongwe district","completion","rehabilitation","Rehabilitation of offices, change of workstations and purchase of furniture and other stationery","To provide a good working environment for staff at MWASIP","2021-04-01","2021-07-22","MWK","275080202.60",""
"Directorate of Buildings (DoB)","266","BT/2020/1","Construction of civil works on rail line at blantyre strategic fuel reserves","completion","construction","construction of rail line","to provide easy access to strategic fuel reserves","2021-01-05","2021-09-05","MWK","431923684.38",""
"Directorate of Buildings (DoB)","265","02/2020","Completion of office block for agricultural commercialization project area 4- Lilongwe","completion","construction","construction of office block","to provide an office for conducting commercial activities for the agricultural sector","2021-02-22","2021-04-30","MWK","333073132.74",""
"Directorate of Buildings (DoB)","264","06/2020","Construction of security institutional houses for Malawi Police Services at IPYANA and SONGWE in karonga district","completion","construction","construction of houses and its associated works","To provide secure institutional houses for the police service","2020-11-30","2021-12-17","MWK","1300795693.88",""
"Directorate of Buildings (DoB)","263","16/2022","Construction of 2NO, staff houses and associated external works- Monkeybay","implementation","construction","Construction of houses and associated external works","to provide a conducive living environment for staff members","2023-03-27","2023-10-11","MWK","311639611.11",""
"National Oil Company of Malawi (NOCMA)","214","NOCMA/NCB/W/BT/2018/1","CONSTRUCTION AND INSTALLATION OF RAIL SIDING PUMP HOUSE AND ASSOCIATED EQUIPMENT AT LILONGWE AND BLANTYRE DEPOTS","implementation","construction","Construction of Rail Siding facility at Blantyre Depot located at Matindi area and Lilongwe depot located at Area 51","Construction of Rail Siding facility at Lilongwe and Blantyre Depots to enable NOCMA to offload product using Rail wagons","2018-12-31","2022-11-15","MWK","4012176750.50",""
"Lilongwe Water Board","8","MW-LWSP-26088-CS-QCBS","LILONGWE WATER AND SANITATION PROJECT (LWSP)","implementation","construction","The project scope consists of four components: 1-water distribution network rehabilitation and expansion and Non-Revenue Water reduction; 2-Priority sanitation improvements; 3-Technical assistance; 4-Institutional capacity strengthening.","The project is to increase access to improved water services and safely managed sanitation. It is expected the project will benefit half a million residents in Lilongwe city.","2018-03-26","2024-12-30","USD","147500000.00",""
"Salima District Council","60","MW/SADC/GESD/60601","MNEMA HEALTH CENTRE","completion","construction","Construction of Maternity block, Incinerator and Ash pit, Water supply system","The project is trying to address issues of maternal deaths hence reduce mortality rate in the locality.","2022-01-21","2022-04-30","MWK","134921676.11",""
"Lilongwe City Council","74","LCC/CDF/02/22/ROOF REPAIR/KAUMA SCHOOL","ROOF REPAIR AT KAUMA SCHOOL UNDER CONSTITUENCY DEVELOPMENT FUND IN LILONGWE CITY CENTRE CONSTITUENCY","completed","rehabilitation","Repairing roof of a school block","Improve learning conditions for students","2022-06-02","2022-08-01","MWK","4022745.00",""
"Lilongwe City Council","155","LCC/CDF/04/22/CONCRETE BRIDGE/CHATATA WARD","Construction of concrete bridge in chatata-ngona ward under CDF in lilongwe City centre constituency-first phase","completed","construction","Construction of 30m 2 span concrete bridge in chatata ward by infra dev contractors","Ease transportation of goods and services","2022-08-26","2022-10-27","MWK","43555600.00",""
"Lilongwe City Council","159","LCC/IPDC/06/22/MAINTENANCE/COLLAPSED FENCE/LUMBADZI MARKET","Construction of collapsed brick fence at lumbazi marker under local revenue","completed","rehabilitation","Construction of collapsed brick fence at lumbazi marker under local revenue","Improve safety in the market place","2022-08-26","2022-10-27","MWK","2813562.50",""
"Lilongwe City Council","160","LCC/1/","construction of box culvert at Chankhandwe under constituency development fund","completed","construction","Construction of Box culvert at Chankhandwe","improvement of road infrastructure in the city for easy access to students, women and the residents of Chinsapo and Bwemba areas","2022-03-21","2022-07-21","MWK","17748200.03",""
"Karonga District Council","33","KADC/DDF/W/2020-2021/01 - LOT 1","Construction of Staff House at Mwenilondo Health Centre","completed","construction","The works involve construction of a 3 bed room house with flush toilet, kitchen and stores apartments","The purpose is to provide housing accommodation to Health Worker working at the Health facility.","2021-10-15","2022-01-13","MWK","2194735050.00",""
"Chitipa District Council","129","001","Construction of Staff Houses at Nthalire Health Centre","completed","construction","Two staff houses were constructed at Nthalire Health Centre with GESD funds","To improve the housing condition of health staff","2021-12-22","2022-03-31","MWK","40000000.00",""
"Rumphi District Council","126","DDF001","REHABILITATION OF DC'S OFFICE","completed","rehabilitation","GENERAL MAINTENANCE WORK","IMPROVE WORKPLANCE ENVIRONMENT","2022-07-18","2022-09-01","MWK","35000000.00",""
"Karonga District Council","127","KADC/DDF/GESD/NYUNGWE ADC OFFICE/2021-22/003","Nyungwe ADC Office","completed","construction","Construction of One office block and one double VIP toilet","Provide conducive environment for planning and reviewing development project","2022-01-28","2022-04-28","MWK","18892292.00",""
"Blantyre District Council","211","BT/","Kamwiri health post","implementation","construction","construction of health post","improve health services","2022-07-15","2021-09-30","MWK","18000000.00",""
"Roads Authority","25","RA/DEV/2019-20/10","Upgrading of Kapiri - Mkanda","implementation","construction","This project involves the construction to bitumen standard of approximately 10km of road section from Mkanda towards Kapiri. The Road will be upgraded to an all-weather bitumen standard road with a cross section of 6.8m carriageway and 1.5m shoulders with an asphalt concrete surfacing.","The project will have many benefits to the people of Mkanda and Kapiri. Some of the benefits will include;  1.	Reduction of Travel Time The road upgrade will greatly reduce the travel time of road users in the surrounding community.  2.	Maintenance costs With the new construction from gravel to bituminous surfaced standard, the road will operate in an all-weather condition. Ultimately, emergency maintenance works during the rainy season and costs will be reduced as concentration will be on routine maintenance activities such as drainage structures cleaning, line marking, grass cutting and patching of any potholes that may occur.   3.	Vehicle Operating and Passenger Travel costs Vehicle operating costs savings constitute the most important benefit attributable to the project. This will have direct reduction on maintenance cost of the vehicles, reduced fuel consumption and travel time. Passengers will now be paying less and spending less time on travel. Availability of buses and minibuses will greatly improve. 4.	Agriculture The area where the road passes is an agricultural area for mainly tobacco, maize, beans, potatoes and groundnuts. The upgrading of the road will ease problems of transporting farm inputs and produce to and from various markets. . 5.	Employment Creation and Business Boosting The people around the area of the road project will also benefit by getting employed in various road activities by the Contractor. During project implementation and after, a lot of businesses will be enhanced along the project road and the communities will be empowered   6.	Environmental and Health The upgrading will reduce the occurrence of dust and mud along the project area and thereby improving sanitation which means reduction in the spread of diseases which are airborne or waterborne. This will reduce the cost of medicines which would have been required to treat the people affected. The upgrading of the road will allow the communities good access to health facilities in town.","2021-08-01","2022-04-28","MWK","4300016478.58",""
"Lilongwe City Council","75","LCC/IPDC/09/07/2021","REHABILITATION OF MCHESI TO AREA 23 MARKET ROAD IN LILONGWE CITY (LOT6)","completed","rehabilitation","Rehabilitation of existing road","Transportation improvement","2022-03-14","2022-08-11","MWK","1631348669.84",""
"ZOMBA CITY COUNCIL","113","TD-OX/ZCC/21/172/LLW-MW/006","Installation of Gabion Baskets along Likangala River","implementation","construction","Prepare and Install gabions baskets along Likangala river in selected critical points.","Reduce eroding of river banks and maintain river course so as flooding is minimized.","2021-10-18","2022-03-27","MWK","240945300.00",""
"ZOMBA CITY COUNCIL","112","TD-OX/ZCC/21/172/LLW-MW/005","Construction of 2 Evacuation Centres in Likangala and Chambo Wards","completed","construction","Multipurpose Evacuation Centers","Accommodate displaced  flood victims usually occur along Likangala River","2021-10-25","2022-04-27","MWK","139440574.20",""
"Directorate of Buildings (DoB)","79","11/2020","Construction of houses for security institutions","implementation","construction","houses for IPYANA and songwe in karonga,malaya pmf camp in mangochi,mwanza and neno police station,area 30 in lilongwe,mvera in dowa,mzuzu,immigration headquarters lilongwe","provide housing for security officers","2020-11-30","2022-12-24","MWK","12675679000.00",""
"Directorate of Buildings (DoB)","102","05/2019","construction of new premises for the ""C"" division of malawi police service","preparation","construction","office space and work stations","provide better office space for the officers","2019-05-17","2025-05-18","MWK","11075200000.00",""
"Mulanje District Council","183","MJDC-IPDC-2020/2021-W-1-DDF","Construction of a School Block at Nkuta CDSS","completed","construction","Construction of a two-classroom school block at Nkuta Community Day Secondary School","To improve Education standards in the district","2021-06-01","2021-08-31","MWK","40000000.00",""
"Mulanje District Council","182","MJDC-IPDC-2020/2021-W-2-DDF","Construction of a School Block at Waluma CDSS","completed","construction","Construction of a Two-Classroom school block at Waluma Community Day Secondary School.","To improve Education Standards in the District","2021-06-01","2021-08-31","MWK","40000000.00",""
"Directorate of Buildings (DoB)","89","08/2017","construction of mponera community hospital","implementation","construction","In dowa district","provide a healthy institution to the community","2019-05-27","2022-05-27","MWK","7953522080.13",""
"Directorate of Buildings (DoB)","90","51/2015","Construction of National Indoor sports stadium complex","implementation","construction","Indoor sports complex,Area 48 next to  Bingu National stadium in Lilongwe.","provide sporting facility to the community","2021-01-04","2022-09-26","MWK","7770430405.57",""
"Directorate of Buildings (DoB)","101","07-2022","Construction of Capital Hill Clinic","implementation","construction","Associated External works at capital hill","To help people  in an area to provide health facility'","2022-07-18","2023-01-23","MWK","970127330.14",""
"Directorate of Buildings (DoB)","103","07-2022","Construction of security staff houses for police services","implementation","construction","staff houses for police services in Lilongwe city","for better living of standard","2022-12-07","2023-01-23","MWK","999679166196.60",""
"Directorate of Buildings (DoB)","104","03/2022","construction of staff houses for malawi police","implementation","construction","staff houses for security officers","provide houses to security officers","2022-03-21","2022-12-30","MWK","1165826759.61",""
"Directorate of Buildings (DoB)","106","48/2020","Rehabilitation of kamudzu central hospital  kitchen","implementation","rehabilitation","FIxing and maintaning the kitchen structure","Remodelling of the current kitchen into a better one","2021-05-20","2022-08-31","MWK","95810334.11",""
"Directorate of Buildings (DoB)","107","50/2020","Rehabilitation of offices at MWASIP","implementation","rehabilitation","Rehabilitation of offices at MWASIP","for better standard of","2021-04-01","2022-10-30","MWK","275080202.60",""
"Directorate of Buildings (DoB)","108","03/2022","Completion of social amenities community ground hall,library and bus deport","implementation","construction","community ground,hall,library,bus deport","Provision of social services to the community","2022-03-04","2022-10-21","MWK","618353349.71",""
"Directorate of Buildings (DoB)","109","18/2020D","Construction of staff houses for Malawi police","implementation","construction","staff houses for malawi police in Lilongwe","for a better living","2022-07-12","2023-04-28","MWK","857483415.86",""
"Directorate of Buildings (DoB)","110","19/2022","Construction of prison houses","implementation","construction","security institutions houses  for prison staff","provide houses to prison staff","2022-03-21","2023-04-29","MWK","2235379805.56",""
"Lilongwe City Council","151","LCC/WDF/01/21/FOOT BRIDGE/ MBVUNGUTI","Construction of FOOT BRIDGE in mvunguti ward under WDF In lilongwe City centre constituency","implementation","construction","Construction of FOOT bridge","Ease transportation of goods and services","2022-06-30","2022-07-31","MWK","4256396.00",""
